Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2016,JAN THRU MAR,,CALIFORNIA,6,,ADDED & REPLACED,"210,000",
2016,JAN THRU MAR,,COLORADO,8,,ADDED & REPLACED,"1,700",
2016,JAN THRU MAR,,CONNECTICUT,9,,ADDED & REPLACED,70,
2016,JAN THRU MAR,,FLORIDA,12,,ADDED & REPLACED,"49,000",
2016,JAN THRU MAR,,GEORGIA,13,,ADDED & REPLACED,"36,000",
2016,JAN THRU MAR,,HAWAII,15,,ADDED & REPLACED,570,
2016,JAN THRU MAR,,IDAHO,16,,ADDED & REPLACED,"5,500",
2016,JAN THRU MAR,,ILLINOIS,17,,ADDED & REPLACED,860,
2016,JAN THRU MAR,,INDIANA,18,,ADDED & REPLACED,30,
2016,JAN THRU MAR,,IOWA,19,,ADDED & REPLACED,90,
2016,JAN THRU MAR,,KANSAS,20,,ADDED & REPLACED,"1,400",
2016,JAN THRU MAR,,KENTUCKY,21,,ADDED & REPLACED,390,
2016,JAN THRU MAR,,LOUISIANA,22,,ADDED & REPLACED,"9,500",
2016,JAN THRU MAR,,MAINE,23,,ADDED & REPLACED,0,
2016,JAN THRU MAR,,MARYLAND,24,,ADDED & REPLACED,"1,200",
2016,JAN THRU MAR,,MASSACHUSETTS,25,,ADDED & REPLACED,"1,200",
2016,JAN THRU MAR,,MICHIGAN,26,,ADDED & REPLACED,"2,300",
2016,JAN THRU MAR,,MINNESOTA,27,,ADDED & REPLACED,"6,000",
2016,JAN THRU MAR,,MISSISSIPPI,28,,ADDED & REPLACED,"48,000",
2016,JAN THRU MAR,,MISSOURI,29,,ADDED & REPLACED,"5,500",
2016,JAN THRU MAR,,MONTANA,30,,ADDED & REPLACED,"24,000",
2016,JAN THRU MAR,,NEBRASKA,31,,ADDED & REPLACED,510,
2016,JAN THRU MAR,,NEW JERSEY,34,,ADDED & REPLACED,80,
2016,JAN THRU MAR,,NEW MEXICO,35,,ADDED & REPLACED,"1,400",
2016,JAN THRU MAR,,NEW YORK,36,,ADDED & REPLACED,970,
2016,JAN THRU MAR,,NORTH CAROLINA,37,,ADDED & REPLACED,"1,100",
2016,JAN THRU MAR,,NORTH DAKOTA,38,,ADDED & REPLACED,"4,600",
2016,JAN THRU MAR,,OHIO,39,,ADDED & REPLACED,760,
2016,JAN THRU MAR,,OKLAHOMA,40,,ADDED & REPLACED,"4,800",
2016,JAN THRU MAR,,OREGON,41,,ADDED & REPLACED,"3,800",
2016,JAN THRU MAR,,PENNSYLVANIA,42,,ADDED & REPLACED,480,
2016,JAN THRU MAR,,SOUTH CAROLINA,45,,ADDED & REPLACED,"3,200",
2016,JAN THRU MAR,,SOUTH DAKOTA,46,,ADDED & REPLACED,"1,600",
2016,JAN THRU MAR,,TENNESSEE,47,,ADDED & REPLACED,180,
2016,JAN THRU MAR,,TEXAS,48,,ADDED & REPLACED,"126,000",
2016,JAN THRU MAR,,UTAH,49,,ADDED & REPLACED,"1,400",
2016,JAN THRU MAR,,VERMONT,50,,ADDED & REPLACED,0,
2016,JAN THRU MAR,,VIRGINIA,51,,ADDED & REPLACED,560,
2016,JAN THRU MAR,,WASHINGTON,53,,ADDED & REPLACED,"5,500",
2016,JAN THRU MAR,,WEST VIRGINIA,54,,ADDED & REPLACED,0,
2016,JAN THRU MAR,,WISCONSIN,55,,ADDED & REPLACED,530,
2016,JAN THRU MAR,,WYOMING,56,,ADDED & REPLACED,440,
2016,APR THRU JUN,,ALABAMA,1,,ADDED & REPLACED,"1,200",
2016,APR THRU JUN,,ARIZONA,4,,ADDED & REPLACED,"14,000",
2016,APR THRU JUN,,ARKANSAS,5,,ADDED & REPLACED,"12,000",
2016,APR THRU JUN,,CALIFORNIA,6,,ADDED & REPLACED,"240,000",
2016,APR THRU JUN,,COLORADO,8,,ADDED & REPLACED,"9,000",
2016,APR THRU JUN,,CONNECTICUT,9,,ADDED & REPLACED,390,
2016,APR THRU JUN,,FLORIDA,12,,ADDED & REPLACED,"43,000",
2016,APR THRU JUN,,GEORGIA,13,,ADDED & REPLACED,"17,500",
2016,APR THRU JUN,,HAWAII,15,,ADDED & REPLACED,870,
2016,APR THRU JUN,,IDAHO,16,,ADDED & REPLACED,"19,000",
2016,APR THRU JUN,,ILLINOIS,17,,ADDED & REPLACED,"2,200",
2016,APR THRU JUN,,INDIANA,18,,ADDED & REPLACED,"2,700",
2016,APR THRU JUN,,IOWA,19,,ADDED & REPLACED,"26,000",
2016,APR THRU JUN,,KANSAS,20,,ADDED & REPLACED,"3,000",
2016,APR THRU JUN,,KENTUCKY,21,,ADDED & REPLACED,"2,100",
2016,APR THRU JUN,,LOUISIANA,22,,ADDED & REPLACED,"10,000",
2016,APR THRU JUN,,MAINE,23,,ADDED & REPLACED,510,
2016,APR THRU JUN,,MARYLAND,24,,ADDED & REPLACED,"2,800",
2016,APR THRU JUN,,MASSACHUSETTS,25,,ADDED & REPLACED,"1,100",
2016,APR THRU JUN,,MICHIGAN,26,,ADDED & REPLACED,"13,500",
2016,APR THRU JUN,,MINNESOTA,27,,ADDED & REPLACED,"24,000",
2016,APR THRU JUN,,MISSISSIPPI,28,,ADDED & REPLACED,"9,000",
2016,APR THRU JUN,,MISSOURI,29,,ADDED & REPLACED,"1,800",
2016,APR THRU JUN,,MONTANA,30,,ADDED & REPLACED,"25,000",
2016,APR THRU JUN,,NEBRASKA,31,,ADDED & REPLACED,"8,000",
2016,APR THRU JUN,,NEW JERSEY,34,,ADDED & REPLACED,"1,900",
2016,APR THRU JUN,,NEW MEXICO,35,,ADDED & REPLACED,"2,700",
2016,APR THRU JUN,,NEW YORK,36,,ADDED & REPLACED,"13,500",
2016,APR THRU JUN,,NORTH CAROLINA,37,,ADDED & REPLACED,"10,000",
2016,APR THRU JUN,,NORTH DAKOTA,38,,ADDED & REPLACED,"23,000",
2016,APR THRU JUN,,OHIO,39,,ADDED & REPLACED,"6,000",
2016,APR THRU JUN,,OKLAHOMA,40,,ADDED & REPLACED,"4,000",
2016,APR THRU JUN,,OREGON,41,,ADDED & REPLACED,"19,000",
2016,APR THRU JUN,,PENNSYLVANIA,42,,ADDED & REPLACED,"6,500",
2016,APR THRU JUN,,SOUTH CAROLINA,45,,ADDED & REPLACED,"2,200",
2016,APR THRU JUN,,SOUTH DAKOTA,46,,ADDED & REPLACED,"15,000",
2016,APR THRU JUN,,TENNESSEE,47,,ADDED & REPLACED,"3,900",
2016,APR THRU JUN,,TEXAS,48,,ADDED & REPLACED,"74,000",
2016,APR THRU JUN,,UTAH,49,,ADDED & REPLACED,"12,000",
2016,APR THRU JUN,,VERMONT,50,,ADDED & REPLACED,480,
2016,APR THRU JUN,,VIRGINIA,51,,ADDED & REPLACED,"2,200",
2016,APR THRU JUN,,WASHINGTON,53,,ADDED & REPLACED,"21,000",
2016,APR THRU JUN,,WEST VIRGINIA,54,,ADDED & REPLACED,"2,600",
2016,APR THRU JUN,,WISCONSIN,55,,ADDED & REPLACED,"17,500",
2016,APR THRU JUN,,WYOMING,56,,ADDED & REPLACED,"7,500",
2016,JUL THRU SEP,,ALABAMA,1,,ADDED & REPLACED,440,
2016,JUL THRU SEP,,ARIZONA,4,,ADDED & REPLACED,"3,200",
2016,JUL THRU SEP,,ARKANSAS,5,,ADDED & REPLACED,270,
2016,JUL THRU SEP,,CALIFORNIA,6,,ADDED & REPLACED,"33,000",
2016,JUL THRU SEP,,COLORADO,8,,ADDED & REPLACED,"1,100",
2016,JUL THRU SEP,,CONNECTICUT,9,,ADDED & REPLACED,890,
2016,JUL THRU SEP,,FLORIDA,12,,ADDED & REPLACED,"62,000",
2016,JUL THRU SEP,,GEORGIA,13,,ADDED & REPLACED,"12,500",
2016,JUL THRU SEP,,HAWAII,15,,ADDED & REPLACED,430,
2016,JUL THRU SEP,,IDAHO,16,,ADDED & REPLACED,"1,900",
2016,JUL THRU SEP,,ILLINOIS,17,,ADDED & REPLACED,850,
2016,JUL THRU SEP,,INDIANA,18,,ADDED & REPLACED,450,
2016,JUL THRU SEP,,IOWA,19,,ADDED & REPLACED,"10,500",
2016,JUL THRU SEP,,KANSAS,20,,ADDED & REPLACED,310,
2016,JUL THRU SEP,,KENTUCKY,21,,ADDED & REPLACED,900,
2016,JUL THRU SEP,,LOUISIANA,22,,ADDED & REPLACED,"2,600",
2016,JUL THRU SEP,,MAINE,23,,ADDED & REPLACED,240,
2016,JUL THRU SEP,,MARYLAND,24,,ADDED & REPLACED,400,
2016,JUL THRU SEP,,MASSACHUSETTS,25,,ADDED & REPLACED,450,
2016,JUL THRU SEP,,MICHIGAN,26,,ADDED & REPLACED,"11,000",
2016,JUL THRU SEP,,MINNESOTA,27,,ADDED & REPLACED,"1,300",
2016,JUL THRU SEP,,MISSISSIPPI,28,,ADDED & REPLACED,750,
2016,JUL THRU SEP,,MISSOURI,29,,ADDED & REPLACED,480,
2016,JUL THRU SEP,,MONTANA,30,,ADDED & REPLACED,"4,100",
2016,JUL THRU SEP,,NEBRASKA,31,,ADDED & REPLACED,390,
2016,JUL THRU SEP,,NEW JERSEY,34,,ADDED & REPLACED,120,
2016,JUL THRU SEP,,NEW MEXICO,35,,ADDED & REPLACED,"2,000",
2016,JUL THRU SEP,,NEW YORK,36,,ADDED & REPLACED,"1,900",
2016,JUL THRU SEP,,NORTH CAROLINA,37,,ADDED & REPLACED,"1,400",
2016,JUL THRU SEP,,NORTH DAKOTA,38,,ADDED & REPLACED,"25,000",
2016,JUL THRU SEP,,OHIO,39,,ADDED & REPLACED,980,
2016,JUL THRU SEP,,OKLAHOMA,40,,ADDED & REPLACED,30,
2016,JUL THRU SEP,,OREGON,41,,ADDED & REPLACED,"2,900",
2016,JUL THRU SEP,,PENNSYLVANIA,42,,ADDED & REPLACED,680,
2016,JUL THRU SEP,,SOUTH CAROLINA,45,,ADDED & REPLACED,990,
2016,JUL THRU SEP,,SOUTH DAKOTA,46,,ADDED & REPLACED,"4,200",
2016,JUL THRU SEP,,TENNESSEE,47,,ADDED & REPLACED,340,
2016,JUL THRU SEP,,TEXAS,48,,ADDED & REPLACED,"12,500",
2016,JUL THRU SEP,,UTAH,49,,ADDED & REPLACED,"1,200",
2016,JUL THRU SEP,,VERMONT,50,,ADDED & REPLACED,170,
2016,JUL THRU SEP,,VIRGINIA,51,,ADDED & REPLACED,460,
2016,JUL THRU SEP,,WASHINGTON,53,,ADDED & REPLACED,"7,500",
2016,JUL THRU SEP,,WEST VIRGINIA,54,,ADDED & REPLACED,130,
2016,JUL THRU SEP,,WISCONSIN,55,,ADDED & REPLACED,880,
2016,JUL THRU SEP,,WYOMING,56,,ADDED & REPLACED,"1,800",
2016,OCT THRU DEC,,ALABAMA,1,,ADDED & REPLACED,50,
2016,OCT THRU DEC,,ARIZONA,4,,ADDED & REPLACED,"4,600",
2016,OCT THRU DEC,,ARKANSAS,5,,ADDED & REPLACED,20,
2016,OCT THRU DEC,,CALIFORNIA,6,,ADDED & REPLACED,"40,000",
2016,OCT THRU DEC,,COLORADO,8,,ADDED & REPLACED,"2,500",
2016,OCT THRU DEC,,CONNECTICUT,9,,ADDED & REPLACED,0,
2016,OCT THRU DEC,,FLORIDA,12,,ADDED & REPLACED,"31,000",
2016,OCT THRU DEC,,GEORGIA,13,,ADDED & REPLACED,"12,000",
2016,OCT THRU DEC,,HAWAII,15,,ADDED & REPLACED,60,
2016,OCT THRU DEC,,IDAHO,16,,ADDED & REPLACED,"5,000",
2016,OCT THRU DEC,,ILLINOIS,17,,ADDED & REPLACED,0,
2016,OCT THRU DEC,,INDIANA,18,,ADDED & REPLACED,20,
2016,OCT THRU DEC,,IOWA,19,,ADDED & REPLACED,0,
2016,OCT THRU DEC,,KANSAS,20,,ADDED & REPLACED,200,
2016,OCT THRU DEC,,KENTUCKY,21,,ADDED & REPLACED,60,
2016,OCT THRU DEC,,LOUISIANA,22,,ADDED & REPLACED,250,
2016,OCT THRU DEC,,MAINE,23,,ADDED & REPLACED,0,
2016,OCT THRU DEC,,MARYLAND,24,,ADDED & REPLACED,20,
2016,OCT THRU DEC,,MASSACHUSETTS,25,,ADDED & REPLACED,0,
2016,OCT THRU DEC,,MICHIGAN,26,,ADDED & REPLACED,10,
2016,OCT THRU DEC,,MINNESOTA,27,,ADDED & REPLACED,0,
2016,OCT THRU DEC,,MISSISSIPPI,28,,ADDED & REPLACED,330,
2016,OCT THRU DEC,,MISSOURI,29,,ADDED & REPLACED,"1,400",
2016,OCT THRU DEC,,MONTANA,30,,ADDED & REPLACED,"2,700",
2016,OCT THRU DEC,,NEBRASKA,31,,ADDED & REPLACED,190,
2016,OCT THRU DEC,,NEW JERSEY,34,,ADDED & REPLACED,400,
2016,OCT THRU DEC,,NEW MEXICO,35,,ADDED & REPLACED,"1,100",
2016,OCT THRU DEC,,NEW YORK,36,,ADDED & REPLACED,240,
2016,OCT THRU DEC,,NORTH CAROLINA,37,,ADDED & REPLACED,220,
2016,OCT THRU DEC,,NORTH DAKOTA,38,,ADDED & REPLACED,"13,500",
2016,OCT THRU DEC,,OHIO,39,,ADDED & REPLACED,20,
2016,OCT THRU DEC,,OKLAHOMA,40,,ADDED & REPLACED,120,
2016,OCT THRU DEC,,OREGON,41,,ADDED & REPLACED,"1,500",
2016,OCT THRU DEC,,PENNSYLVANIA,42,,ADDED & REPLACED,120,
2016,OCT THRU DEC,,SOUTH CAROLINA,45,,ADDED & REPLACED,760,
2016,OCT THRU DEC,,SOUTH DAKOTA,46,,ADDED & REPLACED,0,
2016,OCT THRU DEC,,TENNESSEE,47,,ADDED & REPLACED,120,
2016,OCT THRU DEC,,TEXAS,48,,ADDED & REPLACED,"2,200",
2016,OCT THRU DEC,,UTAH,49,,ADDED & REPLACED,440,
2016,OCT THRU DEC,,VERMONT,50,,ADDED & REPLACED,20,
2016,OCT THRU DEC,,VIRGINIA,51,,ADDED & REPLACED,230,
2016,OCT THRU DEC,,WASHINGTON,53,,ADDED & REPLACED,"3,100",
2016,OCT THRU DEC,,WEST VIRGINIA,54,,ADDED & REPLACED,80,
2016,OCT THRU DEC,,WISCONSIN,55,,ADDED & REPLACED,10,
2016,OCT THRU DEC,,WYOMING,56,,ADDED & REPLACED,50,
2015,JAN THRU MAR,,ALABAMA,1,,ADDED & REPLACED,"2,800",
2015,JAN THRU MAR,,ARIZONA,4,,ADDED & REPLACED,"3,400",
2015,JAN THRU MAR,,ARKANSAS,5,,ADDED & REPLACED,"1,200",
2015,JAN THRU MAR,,CALIFORNIA,6,,ADDED & REPLACED,"250,000",
2015,JAN THRU MAR,,COLORADO,8,,ADDED & REPLACED,200,
2015,JAN THRU MAR,,CONNECTICUT,9,,ADDED & REPLACED,290,
2015,JAN THRU MAR,,FLORIDA,12,,ADDED & REPLACED,"54,000",
2015,JAN THRU MAR,,GEORGIA,13,,ADDED & REPLACED,"47,000",
2015,JAN THRU MAR,,HAWAII,15,,ADDED & REPLACED,"3,400",
2015,JAN THRU MAR,,IDAHO,16,,ADDED & REPLACED,"2,600",
2015,JAN THRU MAR,,ILLINOIS,17,,ADDED & REPLACED,"2,300",
2015,JAN THRU MAR,,INDIANA,18,,ADDED & REPLACED,490,
2015,JAN THRU MAR,,IOWA,19,,ADDED & REPLACED,"1,700",
2015,JAN THRU MAR,,KANSAS,20,,ADDED & REPLACED,450,
2015,JAN THRU MAR,,KENTUCKY,21,,ADDED & REPLACED,250,
2015,JAN THRU MAR,,LOUISIANA,22,,ADDED & REPLACED,"3,100",
2015,JAN THRU MAR,,MAINE,23,,ADDED & REPLACED,20,
2015,JAN THRU MAR,,MARYLAND,24,,ADDED & REPLACED,"1,600",
2015,JAN THRU MAR,,MASSACHUSETTS,25,,ADDED & REPLACED,260,
2015,JAN THRU MAR,,MICHIGAN,26,,ADDED & REPLACED,"7,500",
2015,JAN THRU MAR,,MINNESOTA,27,,ADDED & REPLACED,690,
2015,JAN THRU MAR,,MISSISSIPPI,28,,ADDED & REPLACED,"22,000",
2015,JAN THRU MAR,,MISSOURI,29,,ADDED & REPLACED,220,
2015,JAN THRU MAR,,MONTANA,30,,ADDED & REPLACED,"1,400",
2015,JAN THRU MAR,,NEBRASKA,31,,ADDED & REPLACED,120,
2015,JAN THRU MAR,,NEW JERSEY,34,,ADDED & REPLACED,570,
2015,JAN THRU MAR,,NEW MEXICO,35,,ADDED & REPLACED,190,
2015,JAN THRU MAR,,NEW YORK,36,,ADDED & REPLACED,430,
2015,JAN THRU MAR,,NORTH CAROLINA,37,,ADDED & REPLACED,"6,000",
2015,JAN THRU MAR,,NORTH DAKOTA,38,,ADDED & REPLACED,"1,800",
2015,JAN THRU MAR,,OHIO,39,,ADDED & REPLACED,"5,000",
2015,JAN THRU MAR,,OKLAHOMA,40,,ADDED & REPLACED,"2,600",
2015,JAN THRU MAR,,OREGON,41,,ADDED & REPLACED,"4,300",
2015,JAN THRU MAR,,PENNSYLVANIA,42,,ADDED & REPLACED,360,
2015,JAN THRU MAR,,SOUTH CAROLINA,45,,ADDED & REPLACED,"2,700",
2015,JAN THRU MAR,,SOUTH DAKOTA,46,,ADDED & REPLACED,"8,500",
2015,JAN THRU MAR,,TENNESSEE,47,,ADDED & REPLACED,"1,000",
2015,JAN THRU MAR,,TEXAS,48,,ADDED & REPLACED,"82,000",
2015,JAN THRU MAR,,UTAH,49,,ADDED & REPLACED,"2,500",
2015,JAN THRU MAR,,VERMONT,50,,ADDED & REPLACED,"1,200",
2015,JAN THRU MAR,,VIRGINIA,51,,ADDED & REPLACED,800,
2015,JAN THRU MAR,,WASHINGTON,53,,ADDED & REPLACED,"13,500",
2015,JAN THRU MAR,,WEST VIRGINIA,54,,ADDED & REPLACED,570,
2015,JAN THRU MAR,,WISCONSIN,55,,ADDED & REPLACED,"3,100",
2015,JAN THRU MAR,,WYOMING,56,,ADDED & REPLACED,"2,000",
2015,APR THRU JUN,,ALABAMA,1,,ADDED & REPLACED,"1,900",
2015,APR THRU JUN,,ARIZONA,4,,ADDED & REPLACED,"19,500",
2015,APR THRU JUN,,ARKANSAS,5,,ADDED & REPLACED,"11,500",
2015,APR THRU JUN,,CALIFORNIA,6,,ADDED & REPLACED,"170,000",
2015,APR THRU JUN,,COLORADO,8,,ADDED & REPLACED,"6,000",
2015,APR THRU JUN,,CONNECTICUT,9,,ADDED & REPLACED,"1,100",
2015,APR THRU JUN,,FLORIDA,12,,ADDED & REPLACED,"44,000",
2015,APR THRU JUN,,GEORGIA,13,,ADDED & REPLACED,"25,000",
2015,APR THRU JUN,,HAWAII,15,,ADDED & REPLACED,"1,100",
2015,APR THRU JUN,,IDAHO,16,,ADDED & REPLACED,"16,500",
2015,APR THRU JUN,,ILLINOIS,17,,ADDED & REPLACED,"6,000",
2015,APR THRU JUN,,INDIANA,18,,ADDED & REPLACED,"4,900",
2015,APR THRU JUN,,IOWA,19,,ADDED & REPLACED,"6,500",
2015,APR THRU JUN,,KANSAS,20,,ADDED & REPLACED,"2,800",
2015,APR THRU JUN,,KENTUCKY,21,,ADDED & REPLACED,"3,600",
2015,APR THRU JUN,,LOUISIANA,22,,ADDED & REPLACED,"6,500",
2015,APR THRU JUN,,MAINE,23,,ADDED & REPLACED,"3,500",
2015,APR THRU JUN,,MARYLAND,24,,ADDED & REPLACED,"2,600",
2015,APR THRU JUN,,MASSACHUSETTS,25,,ADDED & REPLACED,940,
2015,APR THRU JUN,,MICHIGAN,26,,ADDED & REPLACED,"13,500",
2015,APR THRU JUN,,MINNESOTA,27,,ADDED & REPLACED,"20,000",
2015,APR THRU JUN,,MISSISSIPPI,28,,ADDED & REPLACED,"5,500",
2015,APR THRU JUN,,MISSOURI,29,,ADDED & REPLACED,"1,900",
2015,APR THRU JUN,,MONTANA,30,,ADDED & REPLACED,"14,000",
2015,APR THRU JUN,,NEBRASKA,31,,ADDED & REPLACED,"15,500",
2015,APR THRU JUN,,NEW JERSEY,34,,ADDED & REPLACED,"2,100",
2015,APR THRU JUN,,NEW MEXICO,35,,ADDED & REPLACED,"1,500",
2015,APR THRU JUN,,NEW YORK,36,,ADDED & REPLACED,"11,000",
2015,APR THRU JUN,,NORTH CAROLINA,37,,ADDED & REPLACED,"5,500",
2015,APR THRU JUN,,NORTH DAKOTA,38,,ADDED & REPLACED,"39,000",
2015,APR THRU JUN,,OHIO,39,,ADDED & REPLACED,"10,000",
2015,APR THRU JUN,,OKLAHOMA,40,,ADDED & REPLACED,"5,500",
