Entity,Code,Year,Deaths in all state-based conflict types
Asia & Oceania,,1954,48619
Asia & Oceania,,1955,10048
Asia & Oceania,,1956,13151.5
Asia & Oceania,,1957,9552.5
Asia & Oceania,,1958,24046
Asia & Oceania,,1959,29064.5
Asia & Oceania,,1960,16567
Asia & Oceania,,1961,22162.5
Asia & Oceania,,1962,45437
Asia & Oceania,,1963,64307.5
Asia & Oceania,,1964,59214
Asia & Oceania,,1965,90345
Asia & Oceania,,1966,92345
Asia & Oceania,,1967,103235
Asia & Oceania,,1968,205372
Asia & Oceania,,1969,164193
Asia & Oceania,,1970,205467
Asia & Oceania,,1971,355751.5
Asia & Oceania,,1972,294572.5
Asia & Oceania,,1973,208594.5
Asia & Oceania,,1974,241810
Asia & Oceania,,1975,112921.5
Asia & Oceania,,1976,24504
Asia & Oceania,,1977,24784
Asia & Oceania,,1978,69550.5
Asia & Oceania,,1979,121238.5
Asia & Oceania,,1980,56851.5
Asia & Oceania,,1981,51422
Asia & Oceania,,1982,56146.5
Asia & Oceania,,1983,75864.5
Asia & Oceania,,1984,104348
Asia & Oceania,,1985,87316
Asia & Oceania,,1986,83504.5
Asia & Oceania,,1987,65588
Asia & Oceania,,1988,52379.5
Asia & Oceania,,1989,9714
Asia & Oceania,,1990,10055
Asia & Oceania,,1991,15508
Asia & Oceania,,1992,17039
Asia & Oceania,,1993,9385
Asia & Oceania,,1994,12642
Asia & Oceania,,1995,12719
Asia & Oceania,,1996,12034
Asia & Oceania,,1997,11493
Asia & Oceania,,1998,12231
Asia & Oceania,,1999,9244
Asia & Oceania,,2000,13609
Asia & Oceania,,2001,6783.66666666667
Asia & Oceania,,2002,7396
Asia & Oceania,,2003,7662.75
Asia & Oceania,,2004,5510
Asia & Oceania,,2005,5294
Asia & Oceania,,2006,9607
Asia & Oceania,,2007,12075
Asia & Oceania,,2008,18899
Asia & Oceania,,2009,25267
Asia & Oceania,,2010,14293
Asia & Oceania,,2011,11765
Asia & Oceania,,2012,12065
Asia & Oceania,,2013,11293
Asia & Oceania,,2014,16598
Asia & Oceania,,2015,21114
Asia & Oceania,,2016,20052
Asia & Oceania,,2017,22539
Asia & Oceania,,2018,27308
Asia & Oceania,,2019,31686
Asia & Oceania,,2020,21986
Europe,,1946,51421
Europe,,1947,48684
Europe,,1948,42849
Europe,,1949,39012
Europe,,1950,512
Europe,,1951,0
Europe,,1952,0
Europe,,1953,0
Europe,,1954,0
Europe,,1955,96
Europe,,1956,3267
Europe,,1957,96.5
Europe,,1958,97
Europe,,1959,97
Europe,,1960,0
Europe,,1961,1180
Europe,,1962,1180
Europe,,1963,0
Europe,,1964,0
Europe,,1965,0
Europe,,1966,0
Europe,,1967,0
Europe,,1968,0
Europe,,1969,0
Europe,,1970,0
Europe,,1971,171
Europe,,1972,479
Europe,,1973,253
Europe,,1974,294
Europe,,1975,260
Europe,,1976,295
Europe,,1977,111
Europe,,1978,81
Europe,,1979,121
Europe,,1980,171
Europe,,1981,143
Europe,,1982,1074
Europe,,1983,85
Europe,,1984,69
Europe,,1985,57
Europe,,1986,61
Europe,,1987,150
Europe,,1988,104
Europe,,1989,287
Europe,,1990,236
Europe,,1991,3399
Europe,,1992,20337
Europe,,1993,8940
Europe,,1994,4564
Europe,,1995,3969
Europe,,1996,2721
Europe,,1997,29
Europe,,1998,1298
Europe,,1999,7258
Europe,,2000,2907
Europe,,2001,1328.66666666667
Europe,,2002,1289
Europe,,2003,2461.75
Europe,,2004,1178
Europe,,2005,707
Europe,,2006,259
Europe,,2007,176
Europe,,2008,1055
Europe,,2009,696
Europe,,2010,418
Europe,,2011,359
Europe,,2012,541
Europe,,2013,321
Europe,,2014,4598
Europe,,2015,1471
Europe,,2016,462
Europe,,2017,498
Europe,,2018,273
Europe,,2019,260
Europe,,2020,7858
Middle East,,1946,137
Middle East,,1947,0
Middle East,,1948,23792
Middle East,,1949,1575
Middle East,,1950,256
Middle East,,1951,350
Middle East,,1952,345
Middle East,,1953,256
Middle East,,1954,256
Middle East,,1955,256
Middle East,,1956,2398
Middle East,,1957,298.5
Middle East,,1958,2168
Middle East,,1959,2256
Middle East,,1960,256
Middle East,,1961,5839
Middle East,,1962,12050.5
Middle East,,1963,12401
Middle East,,1964,9290.5
Middle East,,1965,9752
Middle East,,1966,10640
Middle East,,1967,15461.5
Middle East,,1968,9677
Middle East,,1969,12583
Middle East,,1970,11755.5
Middle East,,1971,256
Middle East,,1972,696
Middle East,,1973,12093
Middle East,,1974,15700.5
Middle East,,1975,18559.5
Middle East,,1976,62769
Middle East,,1977,769
Middle East,,1978,1281
Middle East,,1979,4847
Middle East,,1980,43628.5
Middle East,,1981,103029
Middle East,,1982,154818
Middle East,,1983,110929
Middle East,,1984,79937
Middle East,,1985,75828
Middle East,,1986,88090.5
Middle East,,1987,70626.5
Middle East,,1988,168470
Middle East,,1989,1042
Middle East,,1990,2199
Middle East,,1991,23719
Middle East,,1992,2010
Middle East,,1993,2652
Middle East,,1994,5774
Middle East,,1995,3991
Middle East,,1996,4135
Middle East,,1997,4478
Middle East,,1998,2033
Middle East,,1999,1459
Middle East,,2000,291
Middle East,,2001,493
Middle East,,2002,662
Middle East,,2003,2369.75
Middle East,,2004,4656
Middle East,,2005,3115
Middle East,,2006,5325
Middle East,,2007,3032
Middle East,,2008,3411
Middle East,,2009,2092
Middle East,,2010,1592
Middle East,,2011,4070
Middle East,,2012,54501
Middle East,,2013,73836
Middle East,,2014,81125
Middle East,,2015,69396
Middle East,,2016,56775
Middle East,,2017,35347
Middle East,,2018,20378
Middle East,,2019,10790
Middle East,,2020,8806
World,OWID_WRL,1946,299622
World,OWID_WRL,1947,415334.5
World,OWID_WRL,1948,487298
World,OWID_WRL,1949,465304.5
World,OWID_WRL,1950,596085
World,OWID_WRL,1951,404950
World,OWID_WRL,1952,154144.5
World,OWID_WRL,1953,103057.5
World,OWID_WRL,1954,72986.5
World,OWID_WRL,1955,35283.5
World,OWID_WRL,1956,43582.5
World,OWID_WRL,1957,35426.5
World,OWID_WRL,1958,51787.5
World,OWID_WRL,1959,55598.5
World,OWID_WRL,1960,153964
World,OWID_WRL,1961,173337
World,OWID_WRL,1962,85582.5
World,OWID_WRL,1963,87489.5
World,OWID_WRL,1964,91169
World,OWID_WRL,1965,126803.5
World,OWID_WRL,1966,124519
World,OWID_WRL,1967,155610
World,OWID_WRL,1968,266231
World,OWID_WRL,1969,230694.5
World,OWID_WRL,1970,242452
World,OWID_WRL,1971,379408
World,OWID_WRL,1972,319975.5
World,OWID_WRL,1973,242082
World,OWID_WRL,1974,280065
World,OWID_WRL,1975,153482.5
World,OWID_WRL,1976,121284.5
World,OWID_WRL,1977,60818.5
World,OWID_WRL,1978,117955
World,OWID_WRL,1979,169340.5
World,OWID_WRL,1980,142336
World,OWID_WRL,1981,217184
World,OWID_WRL,1982,269539
World,OWID_WRL,1983,251907
World,OWID_WRL,1984,268178.5
World,OWID_WRL,1985,241802.5
World,OWID_WRL,1986,251410.5
World,OWID_WRL,1987,210629
World,OWID_WRL,1988,267467
World,OWID_WRL,1989,54304
World,OWID_WRL,1990,79939
World,OWID_WRL,1991,70288
World,OWID_WRL,1992,48999
World,OWID_WRL,1993,36953
World,OWID_WRL,1994,33469
World,OWID_WRL,1995,28484
World,OWID_WRL,1996,27884
World,OWID_WRL,1997,39782
World,OWID_WRL,1998,39800
World,OWID_WRL,1999,80601
World,OWID_WRL,2000,77585
World,OWID_WRL,2001,23113
World,OWID_WRL,2002,19705
World,OWID_WRL,2003,21688
World,OWID_WRL,2004,19162
World,OWID_WRL,2005,12201
World,OWID_WRL,2006,19633
World,OWID_WRL,2007,19154
World,OWID_WRL,2008,28592
World,OWID_WRL,2009,34549
World,OWID_WRL,2010,21034
World,OWID_WRL,2011,25021
World,OWID_WRL,2012,74065
World,OWID_WRL,2013,92797
World,OWID_WRL,2014,112722
World,OWID_WRL,2015,102369
World,OWID_WRL,2016,87300
World,OWID_WRL,2017,67885
World,OWID_WRL,2018,54914
World,OWID_WRL,2019,51244
World,OWID_WRL,2020,49304
