"rank","country","happiness2021","happiness2020","pop2022"
"120","Tunisia","4.5960","4.3920","12046.6560"
"121","Lebanon","4.5840","4.7720","6684.8490"
"122","Namibia","4.5740","4.5710","2633.8740"
"123","Myanmar","4.4260","4.3080","55227.1430"
"124","Jordan","4.3950","4.6330","10300.8690"
"125","Chad","4.3550","4.4230","17413.5800"
"126","Sri Lanka","4.3250","4.3270","21575.8420"
"127","Eswatini","4.3080","4.3080","1184.8170"
"128","Comoros","4.2890","4.2890","907.4190"
"129","Egypt","4.2830","4.1510","106156.6920"
"130","Ethiopia","4.2750","4.1860","120812.6980"
"131","Mauritania","4.2270","4.3750","4901.9810"
"132","Madagascar","4.2080","4.1660","29178.0770"
"133","Togo","4.1070","4.1870","8680.8370"
"134","Zambia","4.0730","3.7590","19470.2340"
"135","Sierra Leone","3.8490","3.9260","8306.4360"
"136","India","3.8190","3.5730","1406631.7760"
"137","Burundi","3.7750","3.7750","12624.8400"
"138","Yemen","3.6580","3.5270","31154.8670"
"139","Tanzania","3.6230","3.4760","63298.5500"
"140","Haiti","3.6150","3.7210","11680.2830"
"141","Malawi","3.6000","3.5380","20180.8390"
"142","Lesotho","3.5120","3.6530","2175.6990"
"143","Botswana","3.4670","3.4790","2441.1620"
"144","Rwanda","3.4150","3.3120","13600.4640"
"145","Zimbabwe","3.1450","3.2990","15331.4280"
"146","Afghanistan","2.5230","2.5670","40754.3880"
